S/N,Country,CO2 per captia,Co2 emissions,Pop 2016
1,China,7.38,"10,432,751,400","1,414,049,351"
2,United States,15.52,"5,011,686,600","323,015,995"
3,India,1.91,"2,533,638,100","1,324,517,249"
4,Russia,11.44,"1,661,899,300","145,275,383"
5,Japan,9.7,"1,239,592,060","127,763,265"
6,Germany,9.44,"775,752,190","82,193,768"
7,Canada,18.58,"675,918,610","36,382,944"
8,Iran,8.08,"642,560,030","79,563,989"
9,South Korea,11.85,"604,043,830","50,983,457"
10,Indonesia,2.03,"530,035,650","261,556,381"
11,Saudi Arabia,15.94,"517,079,407","32,443,447"
12,Brazil,2.25,"462,994,920","206,163,053"
13,Mexico,3.58,"441,412,750","123,333,376"
14,Australia,17.1,"414,988,700","24,262,712"
15,South Africa,6.95,"390,557,850","56,207,646"
16,Turkey,4.61,"368,122,740","79,827,871"
17,United Kingdom,5.55,"367,860,350","66,297,944"
18,Italy,5.9,"358,139,550","60,663,060"
19,France,5.13,"331,533,320","64,667,596"
20,Poland,7.81,"296,659,670","37,989,220"
21,Taiwan,11.72,"276,724,868","23,618,200"
22,Thailand,3.93,"271,040,160","68,971,308"
23,Malaysia,8.68,"266,251,542","30,684,654"
24,Spain,5.4,"251,892,320","46,634,140"
25,Ukraine,5.22,"233,220,080","44,713,702"
26,Kazakhstan,13.01,"231,919,540","17,830,901"
27,Egypt,2.32,"219,377,350","94,447,073"
28,United Arab Emirates,23.37,"218,788,684","9,360,980"
29,Vietnam,2.2,"206,042,140","93,640,422"
30,Argentina,4.61,"200,708,270","43,508,460"
31,Pakistan,0.87,"178,013,820","203,631,353"
32,Venezuela,5.89,"175,884,256","29,851,255"
33,Netherlands,9.62,"163,419,285","16,981,295"
34,Iraq,4.44,"162,646,160","36,610,632"
35,Algeria,3.85,"156,220,560","40,551,392"
36,Philippines,1.22,"126,922,662","103,663,816"
37,Czech Republic (Czechia),10.53,"111,825,428","10,618,857"
38,Uzbekistan,3.48,"109,347,340","31,441,751"
39,Kuwait,25.65,"101,492,225","3,956,875"
40,Qatar,37.29,"98,990,085","2,654,374"
41,Belgium,8.34,"94,722,813","11,354,420"
42,Oman,19.61,"87,835,773","4,479,219"
43,Nigeria,0.44,"82,634,214","185,960,241"
44,Chile,4.46,"81,258,525","18,209,068"
45,Turkmenistan,14,"79,279,216","5,662,368"
46,Romania,3.98,"78,770,824","19,796,285"
47,Colombia,1.61,"77,667,594","48,175,052"
48,Bangladesh,0.47,"74,476,230","157,977,153"
49,Austria,8.43,"73,764,112","8,747,301"
50,Greece,6.39,"67,840,662","10,615,185"
51,Israel,8.04,"65,201,588","8,108,985"
52,Belarus,6.63,"62,655,669","9,445,643"
53,North Korea,2.32,"58,708,734","25,307,665"
54,Morocco,1.64,"57,694,464","35,126,283"
55,Peru,1.87,"57,692,879","30,926,032"
56,Libya,8.12,"52,696,075","6,492,162"
57,Finland,9.31,"51,183,960","5,497,713"
58,Hungary,5.23,"51,018,899","9,752,975"
59,Bulgaria,7.11,"50,872,910","7,151,953"
60,Portugal,4.86,"50,142,844","10,325,538"
61,Singapore,8.56,"48,381,759","5,653,634"
62,Hong Kong,6.5,"47,066,386","7,243,542"
63,Sweden,4.54,"44,694,415","9,836,007"
64,Norway,8.28,"43,456,012","5,250,949"
65,Serbia,4.65,"41,168,059","8,853,963"
66,Ecuador,2.43,"40,065,690","16,491,116"
67,Switzerland,4.73,"39,666,930","8,379,917"
68,Ireland,8.32,"39,086,565","4,695,779"
69,Syria,2.18,"38,054,696","17,465,575"
70,Denmark,6.65,"38,007,645","5,711,349"
71,Slovakia,6.77,"36,817,242","5,442,003"
72,Trinidad and Tobago,25.39,"34,974,263","1,377,560"
73,Azerbaijan,3.45,"33,614,235","9,736,043"
74,New Zealand,7.14,"33,276,202","4,659,265"
75,Angola,1.06,"30,566,933","28,842,489"
76,Cuba,2.68,"30,389,116","11,335,104"
77,Tunisia,2.6,"29,395,965","11,303,945"
78,Bosnia and Herzegovina,7.58,"25,674,120","3,386,266"
79,Yemen,0.94,"25,647,990","27,168,208"
80,Bahrain,17.15,"24,458,384","1,425,792"
81,Dominican Republic,2.26,"23,466,740","10,397,741"
82,Jordan,2.38,"22,772,370","9,554,286"
83,Estonia,17.02,"22,402,414","1,316,510"
84,Lebanon,3.26,"21,863,288","6,714,281"
85,Bolivia,1.76,"19,463,728","11,031,814"
86,Croatia,4.61,"19,408,194","4,208,602"
87,Mongolia,6.08,"18,574,260","3,056,364"
88,Guatemala,1.12,"18,539,316","16,583,076"
89,Sri Lanka,0.88,"18,454,691","21,021,171"
90,Myanmar,0.31,"16,701,776","53,045,201"
91,Kenya,0.33,"16,334,919","49,051,534"
92,Montenegro,25.9,"16,249,039","627,264"
93,Slovenia,7.1,"14,722,601","2,074,210"
94,Ghana,0.51,"14,469,986","28,481,945"
