Date,Celebrity Name,Distance (Miles),Departure Port,Arrival Port,Gallons (Fuel),Pounds (Fuel),Cost of Fuel,CO2 emissions (aprx.Tons)
2022-09-01,Floyd Mayweather,101,HNL,OGG,193,1294,173,2
2022-08-31,Tom Cruise,111,ASE,APA,143,962,946,2
2022-08-31,Puma/Jay-Z,740,TEB,PDK,746,4998,4914,8
2022-08-31,Tom Cruise,1795,OPF,OPF,1155,7739,7609,12
2022-08-31,Mark Wahlberg,236,LAX,LAS,364,2439,2398,4
2022-08-31,Mark Wahlberg,2175,YYZ,LAX,2169,14537,14294,23
2022-08-31,Tom Cruise,21,FXE,OPF,48,323,318,0.51
2022-08-31,Floyd Mayweather,2556,LAX,HNL,2581,17296,16903,27
2022-08-31,Dan Bilzerian,223,BUR,LAS,346,2316,2263,4
2022-08-30,Dan Bilzerian,223,LAS,BUR,424,2838,2774,4
2022-08-30,Floyd Mayweather,1246,DAL,LAX,1377,9226,9016,15
2022-08-30,Travis Scott,577,SLC,VNY,690,4623,4518,7
2022-08-29,Blake Shelton,1250,11TX,VNY,1385,9281,9070,15
2022-08-29,Jack Nicklaus,24,HPN,TEB,113,758,740,1
2022-08-29,Floyd Mayweather,239,HOU,DAL,376,2520,2463,4
2022-08-29,Travis Scott,577,VNY,SLC,608,4075,3983,6
2022-08-29,Mark Wahlberg,204,PTK,YYZ,312,2094,2047,3
2022-08-29,Jack Nicklaus,165,TAR,NAP,267,1789,1749,3
2022-08-29,A-Rod,799,BNA,OPF,803,5381,5259,8
2022-08-29,A-Rod,757,TEB,BNA,758,5078,4963,8
2022-08-28,A-Rod,75,FOK,TEB,222,1485,1451,2
2022-08-28,Harrison Ford,748,BAF,TYS,440,2947,2880,5
2022-08-28,Harrison Ford,2521,HHR,BAF,1268,8499,8306,13
2022-08-28,Kenny Chesney,1790,CPX,BNA,1292,8657,8461,14
2022-08-28,Floyd Mayweather,1235,LAS,HOU,1205,8075,7892,13
2022-08-28,Tiger Wood,605,RDU,SUA,653,4376,4276,7
2022-08-28,Taylor Swift,266,BNA,ALN,257,1720,1681,3
2022-08-28,Jack Nicklaus,415,OLB,TAR,421,2825,2761,4
2022-08-28,Blake Shelton,126,OKC,TE68,192,1284,1255,2
2022-08-28,Blake Shelton,1859,CCG4,OKC,1795,12032,11760,19
2022-08-28,Tom Cruise,608,TOC,FXE,574,3850,3763,6
2022-08-27,Tom Cruise,139,TRI,TOC,121,809,791,1
2022-08-27,Blake Shelton,1854,PNX,CCS5,1653,11077,10826,17
2022-08-27,Mark Wahlberg,372,SYR,PTK,449,3008,2940,5
2022-08-27,Tiger Wood,217,CHS,RDU,320,2144,2096,3
2022-08-26,Mark Wahlberg,2346,VNY,SYR,1930,12937,12624,20
2022-08-26,Tiger Wood,394,SUA,CHS,484,3241,3163,5
2022-08-26,A-Rod,1119,OPF,FOK,1216,8150,7953,13
2022-08-26,Jack Nicklaus,250,NAP,OLB,347,2328,2272,4
2022-08-26,Jack Nicklaus,4339,HVN,NAP,3595,24091,23509,38
2022-08-26,Floyd Mayweather,2171,OPF,LAS,2189,14674,14341,23
2022-08-25,Jack Nicklaus,68,TEB,HVN,207,1386,1355,2
2022-08-25,Kenny Chesney,906,BNA,PVD,661,4430,4329,7
2022-08-25,Kylie Jenner,494,KCMA,TUS,657,4405,4305,7
2022-08-24,Drake,1568,YYZ,PLS,5626,37708,36908,59
2022-08-23,Tom Cruise,73,LEE,TPA,24,163,160,0.26
2022-08-23,Tom Cruise,472,CHA,LEE,111,741,726,1
2022-08-23,Tom Cruise,73,TPA,LEE,31,211,206,0.33
2022-08-23,Drake,38,YHM,YYZ,388,2598,2543,4
2022-08-23,Puma/Jay-Z,12,EWR,TEB,109,733,717,1
2022-08-22,Dan Bilzerian,263,SDM,LAS,398,2665,2609,4
2022-08-22,Dan Bilzerian,2,TIJ,SDM,95,639,625,1
2022-08-22,Dan Bilzerian,265,LAS,TIJ,461,3091,3026,5
2022-08-20,Tom Cruise,15,K0A9,TRI,40,266,260,0.42
2022-08-20,Tom Cruise,608,FXE,TOC,394,2641,2585,4
2022-08-20,Tom Cruise,834,ESN,TPA,214,1436,1405,2
2022-08-20,Floyd Mayweather,854,MEM,OPF,892,5980,5853,9
2022-08-20,Floyd Mayweather,854,OPF,MEM,931,6239,6107,10
2022-08-19,Kenny Chesney,476,BNA,DET,408,2732,2674,4
2022-08-19,Kenny Chesney,167,CMH,DET,194,1303,1280,2
2022-08-19,Steven Spielberg,184,MVY,TEB,403,2699,2650,4
2022-08-18,Puma/Jay-Z,3346,MDE,LAX,2913,19522,19166,31
2022-08-17,Kenny Chesney,849,EYW,BNA,682,4573,4489,7
2022-08-17,Harrison Ford,783,HHR,JAC,435,2913,2860,5
2022-08-17,Kenny Chesney,849,BNA,NQX,640,4287,4209,7
2022-08-17,Floyd Mayweather,8,VNY,BUR,130,873,859,1
2022-08-17,Puma/Jay-Z,12,EOH,MDE,87,586,577,0.92
2022-08-17,Floyd Mayweather,229,LAS,VNY,324,2169,2136,3
2022-08-15,Floyd Mayweather,258,SAN,LAS,446,2989,2944,5
2022-08-15,Floyd Mayweather,258,LAS,SAN,352,2360,2324,4
2022-08-14,Puma/Jay-Z,229,LAS,VNY,298,1994,1964,3
2022-08-14,A-Rod,765,BNA,JFK,854,5721,5634,9
2022-08-13,Kenny Chesney,527,BNA,MRB,402,2693,2652,4
2022-08-13,Puma/Jay-Z,255,PHX,LAS,312,2094,2062,3
2022-08-12,Tom Cruise,608,FXE,TOC,412,2761,2727,4
