,Date,User,Tweet
0,2022-09-01 20:44:04+00:00,CelebJets,"Puma/Jay-Z's Jet Landed in Van Nuys, California, US. https://t.co/xLcK1FnV2L"
1,2022-09-01 19:27:37+00:00,CelebJets,"Tom Cruise's P51  
~ 29 gallons (109 liters). 
~ 192 lbs (87 kg) of jet fuel used. 
~ $190 cost of fuel. 
~ 0.303 tons of CO2 emissions."
2,2022-09-01 19:27:36+00:00,CelebJets,"Tom Cruise's P51 Landed in Chino, California, US. Apx. flt. time 26 Mins. https://t.co/hL548XUJnD"
3,2022-09-01 19:14:15+00:00,CelebJets,"Tom Cruise's P51 Circling 6.46mi SW of KRIV, March Air Reserve Base at 3800ft. https://t.co/ex9MXpA04o"
4,2022-09-01 19:01:06+00:00,CelebJets,"Tom Cruise's P51 Took off from Chino, California, US. https://t.co/5zjFwOmOWH"
5,2022-09-01 15:04:06+00:00,CelebJets,"Mark Wahlberg's Jet Landed in Van Nuys, California, US. https://t.co/3Zsf1Ln9se"
6,2022-09-01 10:15:27+00:00,CelebJets,"Jack Nicklaus's Jet Took off from Teterboro, New Jersey, US. https://t.co/8fFyGIlXI5"
7,2022-09-01 05:17:07+00:00,CelebJets,"Tiger Wood's Jet Landed in Stuart, Florida, US. https://t.co/WLt0XhZHfd"
8,2022-09-01 03:07:08+00:00,CelebJets,"Tiger Wood's Jet Took off from New York, US. https://t.co/zcd4QK8KQq"
9,2022-09-01 02:25:42+00:00,CelebJets,"Floyd Mayweather's Jet 101 mile (87 NM) flight from HNL to OGG
 
~ 193 gallons (731 liters). 
~ 1,294 lbs (587 kg) of jet fuel used. 
~ $1,273 cost of fuel. 
~ 2 tons of CO2 emissions."
10,2022-09-01 02:25:40+00:00,CelebJets,"Floyd Mayweather's Jet Landed in Kahului, Hawaii, US. Apx. flt. time 24 Mins. https://t.co/7hk4127FNi"
11,2022-09-01 02:01:28+00:00,CelebJets,"Floyd Mayweather's Jet Took off from Honolulu, Hawaii, US. https://t.co/mwupkHq9ow"
12,2022-08-31 19:41:19+00:00,CelebJets,"Tom Cruise's Challanger 300 111 mile (96 NM) flight from ASE to APA
 
~ 143 gallons (543 liters). 
~ 962 lbs (436 kg) of jet fuel used. 
~ $946 cost of fuel. 
~ 2 tons of CO2 emissions."
13,2022-08-31 19:41:18+00:00,CelebJets,"Tom Cruise's Challanger 300 Landed in Denver, Colorado, US. Apx. flt. time 29 Mins. https://t.co/4jzD5RnIFb"
14,2022-08-31 19:31:59+00:00,CelebJets,"Puma/Jay-Z's Jet 740 mile (643 NM) flight from TEB to PDK
 
~ 746 gallons (2,823 liters). 
~ 4,998 lbs (2,267 kg) of jet fuel used. 
~ $4,914 cost of fuel. 
~ 8 tons of CO2 emissions."
15,2022-08-31 19:31:58+00:00,CelebJets,"Puma/Jay-Z's Jet Landed near Atlanta, Georgia, US. Apx. flt. time 1 Hour : 40 Mins. https://t.co/m4uBglCU6j"
16,2022-08-31 19:25:11+00:00,CelebJets,"Tiger Wood's Jet Took off from Stuart, Florida, US. Going to New York, New York, US (JFK, John F Kennedy International Airport) arriving in ~2h04m. https://t.co/NnpsSPYH2a"
17,2022-08-31 19:12:07+00:00,CelebJets,"Tom Cruise's Challanger 300 Took off near Aspen, Colorado, US. Going to Denver, Colorado, US (APA, Centennial Airport) arriving in ~28m. https://t.co/qZ1eZ1FFMO"
18,2022-08-31 18:13:02+00:00,CelebJets,"Tom Cruise's Challanger 300 1,795 mile (1,560 NM) flight from OPF to CO03
 
~ 1,155 gallons (4,371 liters). 
~ 7,739 lbs (3,510 kg) of jet fuel used. 
~ $7,609 cost of fuel. 
~ 12 tons of CO2 emissions."
19,2022-08-31 18:13:01+00:00,CelebJets,"Tom Cruise's Challanger 300 Landed near Aspen, Colorado, US. Apx. flt. time 3 Hours : 54 Mins. https://t.co/ar8dAHjrmh"
20,2022-08-31 17:45:45+00:00,CelebJets,"Puma/Jay-Z's Jet Took off from Teterboro, New Jersey, US. https://t.co/aWExkkEekv"
21,2022-08-31 17:08:46+00:00,CelebJets,"Mark Wahlberg's Jet 236 mile (205 NM) flight from LAX to LAS
 
~ 364 gallons (1,377 liters). 
~ 2,439 lbs (1,106 kg) of jet fuel used. 
~ $2,398 cost of fuel. 
~ 4 tons of CO2 emissions."
22,2022-08-31 17:08:45+00:00,CelebJets,"Mark Wahlberg's Jet Landed in Las Vegas, Nevada, US. Apx. flt. time 43 Mins. https://t.co/R2jZSl2k6U"
23,2022-08-31 16:25:07+00:00,CelebJets,"Mark Wahlberg's Jet Took off from Los Angeles, California, US. Going to Las Vegas, Nevada, US (LAS, McCarran International Airport) arriving in ~35m. https://t.co/BV06mSQspg"
24,2022-08-31 15:00:29+00:00,CelebJets,"Mark Wahlberg's Jet 2,175 mile (1,890 NM) flight from YYZ to LAX
 
~ 2,169 gallons (8,210 liters). 
~ 14,537 lbs (6,594 kg) of jet fuel used. 
~ $14,294 cost of fuel. 
~ 23 tons of CO2 emissions."
25,2022-08-31 15:00:28+00:00,CelebJets,"Mark Wahlberg's Jet Landed in Los Angeles, California, US. Apx. flt. time 4 Hours : 20 Mins. https://t.co/Q1MFM4e2tZ"
26,2022-08-31 14:12:44+00:00,CelebJets,"Tom Cruise's Challanger 300 Took off near Miami, Florida, US. Going to Aspen, Colorado, US (ASE, Aspen-Pitkin Co/Sardy Field) arriving in ~3h41m. https://t.co/pqPYDdvmLA"
27,2022-08-31 12:18:29+00:00,CelebJets,"Tom Cruise's Challanger 300 21 mile (18 NM) flight from FXE to OPF
 
~ 48 gallons (183 liters). 
~ 323 lbs (147 kg) of jet fuel used. 
~ $318 cost of fuel. 
~ 0.5093 tons of CO2 emissions."
28,2022-08-31 12:18:28+00:00,CelebJets,"Tom Cruise's Challanger 300 Landed near Miami, Florida, US. Apx. flt. time 9 Mins. https://t.co/Juf2jY4uLf"
29,2022-08-31 12:03:14+00:00,CelebJets,"Tom Cruise's Challanger 300 Took off near Fort Lauderdale, Florida, US. Going to Miami, Florida, US (OPF, Miami-Opa Locka Executive Airport) arriving in ~5m. https://t.co/SsOenmW9RH"
30,2022-08-31 10:40:12+00:00,CelebJets,"Mark Wahlberg's Jet Took off from Toronto, Ontario, CA. Going to Los Angeles, California, US (LAX, Los Angeles International Airport) arriving in ~4h15m. https://t.co/cCgQ6zqpgL"
31,2022-08-31 01:38:38+00:00,CelebJets,"Floyd Mayweather's Jet 2,556 mile (2,221 NM) flight from LAX to HNL
 
~ 2,581 gallons (9,769 liters). 
~ 17,296 lbs (7,845 kg) of jet fuel used. 
~ $16,903 cost of fuel. 
~ 27 tons of CO2 emissions."
32,2022-08-31 01:38:37+00:00,CelebJets,"Floyd Mayweather's Jet Landed in Honolulu, Hawaii, US. Apx. flt. time 5 Hours : 23 Mins. https://t.co/qiqayRbHPU"
33,2022-08-31 01:16:29+00:00,CelebJets,"Dan Bilzerian's Jet 223 mile (194 NM) flight from BUR to LAS
 
~ 346 gallons (1,308 liters). 
~ 2,316 lbs (1,051 kg) of jet fuel used. 
~ $2,263 cost of fuel. 
~ 4 tons of CO2 emissions."
34,2022-08-31 01:16:28+00:00,CelebJets,"Dan Bilzerian's Jet Landed in Las Vegas, Nevada, US. Apx. flt. time 43 Mins. https://t.co/oMXcwmbw5p"
35,2022-08-31 00:33:12+00:00,CelebJets,"Dan Bilzerian's Jet Took off from Burbank, California, US. Going to Las Vegas, Nevada, US (LAS, McCarran International Airport) arriving in ~42m. https://t.co/2MAbpzBBed"
36,2022-08-30 23:18:22+00:00,CelebJets,"Dan Bilzerian's Jet 223 mile (194 NM) flight from LAS to BUR
 
~ 424 gallons (1,603 liters). 
~ 2,838 lbs (1,287 kg) of jet fuel used. 
~ $2,774 cost of fuel. 
~ 4 tons of CO2 emissions."
37,2022-08-30 23:18:21+00:00,CelebJets,"Dan Bilzerian's Jet Landed in Burbank, California, US. Apx. flt. time 53 Mins. https://t.co/DTpkAO8gWp"
38,2022-08-30 22:25:18+00:00,CelebJets,"Dan Bilzerian's Jet Took off near Las Vegas, Nevada, US. https://t.co/9kaIOtDy8e"
39,2022-08-30 20:15:22+00:00,CelebJets,"Floyd Mayweather's Jet Took off from Los Angeles, California, US. Going to Honolulu, Hawaii, US (HNL, Daniel K Inouye International Airport) arriving in ~5h18m. https://t.co/Dw0EImMtgu"
40,2022-08-30 07:17:12+00:00,CelebJets,"Floyd Mayweather's Jet 1,246 mile (1,083 NM) flight from DAL to LAX
 
~ 1,377 gallons (5,211 liters). 
~ 9,226 lbs (4,185 kg) of jet fuel used. 
~ $9,016 cost of fuel. 
~ 15 tons of CO2 emissions."
41,2022-08-30 07:17:11+00:00,CelebJets,"Floyd Mayweather's Jet Landed in Los Angeles, California, US. Apx. flt. time 2 Hours : 52 Mins. https://t.co/4AYXqaAvCj"
42,2022-08-30 04:24:46+00:00,CelebJets,"Floyd Mayweather's Jet Took off from Dallas, Texas, US. https://t.co/TtyQ9d5prI"
43,2022-08-30 01:58:14+00:00,CelebJets,"Travis Scott's (Cactus Jack LLC)  Jet 577 mile (502 NM) flight from SLC to VNY
 
~ 690 gallons (2,611 liters). 
~ 4,623 lbs (2,097 kg) of jet fuel used. 
~ $4,518 cost of fuel. 
~ 7 tons of CO2 emissions."
44,2022-08-30 01:58:13+00:00,CelebJets,"Travis Scott's (Cactus Jack LLC)  Jet Landed in Van Nuys, California, US. Apx. flt. time 1 Hour : 28 Mins. https://t.co/mfJgrM8eZO"
45,2022-08-30 00:29:57+00:00,CelebJets,"Travis Scott's (Cactus Jack LLC)  Jet Took off from Salt Lake City, Utah, US. https://t.co/nZsf93IYjH"
46,2022-08-29 23:18:33+00:00,CelebJets,"Blake Shelton's Jet 1,250 mile (1,087 NM) flight from 11TX to VNY
 
~ 1,385 gallons (5,242 liters). 
~ 9,281 lbs (4,210 kg) of jet fuel used. 
~ $9,070 cost of fuel. 
~ 15 tons of CO2 emissions."
47,2022-08-29 23:18:32+00:00,CelebJets,"Blake Shelton's Jet Landed in Van Nuys, California, US. Apx. flt. time 2 Hours : 53 Mins. https://t.co/vCsxDs7eaD"
48,2022-08-29 23:04:48+00:00,CelebJets,"Jack Nicklaus's Jet 24 mile (21 NM) flight from HPN to TEB
 
~ 113 gallons (428 liters). 
~ 758 lbs (344 kg) of jet fuel used. 
~ $740 cost of fuel. 
~ 1 tons of CO2 emissions."
49,2022-08-29 23:04:47+00:00,CelebJets,"Jack Nicklaus's Jet Landed in Teterboro, New Jersey, US. Apx. flt. time 15 Mins. https://t.co/23sTVbJe9M"
50,2022-08-29 22:49:38+00:00,CelebJets,"Jack Nicklaus's Jet Took off from White Plains, New York, US. https://t.co/Qzm1vcorYv"
51,2022-08-29 22:07:31+00:00,CelebJets,"Floyd Mayweather's Jet 239 mile (208 NM) flight from HOU to DAL
 
~ 376 gallons (1,423 liters). 
~ 2,520 lbs (1,143 kg) of jet fuel used. 
~ $2,463 cost of fuel. 
~ 4 tons of CO2 emissions."
52,2022-08-29 22:07:30+00:00,CelebJets,"Floyd Mayweather's Jet Landed in Dallas, Texas, US. Apx. flt. time 47 Mins. https://t.co/kv5d7a2xgf"
53,2022-08-29 21:47:48+00:00,CelebJets,"Jack Nicklaus's Jet Landed in White Plains, New York, US. https://t.co/hRwb7uG22G"
54,2022-08-29 21:20:24+00:00,CelebJets,"Floyd Mayweather's Jet Took off near Houston, Texas, US. Going to Dallas, Texas, US (DAL, Dallas Love Field) arriving in ~40m. https://t.co/XvpNDMUHqU"
55,2022-08-29 21:11:07+00:00,CelebJets,"Travis Scott's (Cactus Jack LLC)  Jet 577 mile (502 NM) flight from VNY to SLC
 
~ 608 gallons (2,302 liters). 
~ 4,075 lbs (1,849 kg) of jet fuel used. 
~ $3,983 cost of fuel. 
~ 6 tons of CO2 emissions."
56,2022-08-29 21:11:05+00:00,CelebJets,"Travis Scott's (Cactus Jack LLC)  Jet Landed in Salt Lake City, Utah, US. Apx. flt. time 1 Hour : 17 Mins. https://t.co/5zg3HUnDjf"
57,2022-08-29 20:29:41+00:00,CelebJets,"Mark Wahlberg's Jet 204 mile (177 NM) flight from PTK to YYZ
 
~ 312 gallons (1,183 liters). 
~ 2,094 lbs (950 kg) of jet fuel used. 
~ $2,047 cost of fuel. 
~ 3 tons of CO2 emissions."
58,2022-08-29 20:29:40+00:00,CelebJets,"Mark Wahlberg's Jet Landed in Toronto, Ontario, CA. Apx. flt. time 37 Mins. https://t.co/FHFmPFRYH4"
59,2022-08-29 20:25:05+00:00,CelebJets,"Blake Shelton's Jet Took off near Sherman, Texas, US. Going to Van Nuys, California, US (VNY, Van Nuys Airport) arriving in ~2h20m. https://t.co/u4YosGGVhu"
60,2022-08-29 19:53:18+00:00,CelebJets,"Travis Scott's (Cactus Jack LLC)  Jet Took off from Van Nuys, California, US. https://t.co/R4LNbQ9CTT"
61,2022-08-29 19:52:10+00:00,CelebJets,"Mark Wahlberg's Jet Took off near Pontiac, Michigan, US. https://t.co/jdt4oOcD0W"
62,2022-08-29 12:57:42+00:00,CelebJets,"Jack Nicklaus's Jet Took off from Nápoli, Campania, IT. https://t.co/s4nDpkMNm2"
63,2022-08-29 10:59:08+00:00,CelebJets,"Jack Nicklaus's Jet 165 mile (144 NM) flight from TAR to NAP
 
~ 267 gallons (1,011 liters). 
~ 1,789 lbs (812 kg) of jet fuel used. 
~ $1,749 cost of fuel. 
~ 3 tons of CO2 emissions."
64,2022-08-29 10:59:07+00:00,CelebJets,"Jack Nicklaus's Jet Landed in Nápoli, Campania, IT. Apx. flt. time 35 Mins. https://t.co/h7pGB0CuYf"
65,2022-08-29 10:23:17+00:00,CelebJets,"Jack Nicklaus's Jet Took off near Grottaglie, Apulia, IT. https://t.co/AyfE1eDNET"
66,2022-08-29 08:31:26+00:00,CelebJets,"A-Rod's Jet 799 mile (695 NM) flight from BNA to OPF
 
~ 803 gallons (3,039 liters). 
~ 5,381 lbs (2,441 kg) of jet fuel used. 
~ $5,259 cost of fuel. 
~ 8 tons of CO2 emissions."
67,2022-08-29 08:31:25+00:00,CelebJets,"A-Rod's Jet Landed near Miami, Florida, US. Apx. flt. time 1 Hour : 40 Mins. https://t.co/8KF2rftdbU"
68,2022-08-29 06:45:24+00:00,CelebJets,"A-Rod's Jet Took off from Nashville, Tennessee, US. Going to Miami, Florida, US (OPF, Miami-Opa Locka Executive Airport) arriving in ~2h06m. https://t.co/zsSZZ9Pb58"
69,2022-08-29 06:21:33+00:00,CelebJets,"A-Rod's Jet 757 mile (658 NM) flight from TEB to BNA
 
~ 758 gallons (2,868 liters). 
~ 5,078 lbs (2,303 kg) of jet fuel used. 
~ $4,963 cost of fuel. 
~ 8 tons of CO2 emissions."
70,2022-08-29 06:21:32+00:00,CelebJets,"A-Rod's Jet Landed in Nashville, Tennessee, US. Apx. flt. time 1 Hour : 34 Mins. https://t.co/vtbe0sBG53"
71,2022-08-29 04:46:40+00:00,CelebJets,"A-Rod's Jet Took off from Teterboro, New Jersey, US. Going to Nashville, Tennessee, US (BNA, Nashville International Airport) arriving in ~1h39m. https://t.co/LNIuNuJvch"
72,2022-08-28 23:53:54+00:00,CelebJets,"A-Rod's Jet 75 mile (65 NM) flight from FOK to TEB
 
~ 222 gallons (839 liters). 
~ 1,485 lbs (674 kg) of jet fuel used. 
~ $1,451 cost of fuel. 
~ 2 tons of CO2 emissions."
73,2022-08-28 23:53:53+00:00,CelebJets,"A-Rod's Jet Landed in Teterboro, New Jersey, US. Apx. flt. time 27 Mins. https://t.co/0KybNThTBk"
74,2022-08-28 23:26:07+00:00,CelebJets,"A-Rod's Jet Took off from Westhampton Beach, New York, US. Going to Teterboro, New Jersey, US (TEB, Teterboro Airport) arriving in ~28m. https://t.co/uRpvxgDP0r"
75,2022-08-28 22:41:12+00:00,CelebJets,"Harrison Ford's Jet 748 mile (650 NM) flight from BAF to TYS
 
~ 440 gallons (1,664 liters). 
~ 2,947 lbs (1,337 kg) of jet fuel used. 
~ $2,880 cost of fuel. 
~ 5 tons of CO2 emissions."
76,2022-08-28 22:41:11+00:00,CelebJets,"Harrison Ford's Jet Landed in Knoxville, Tennessee, US. Apx. flt. time 1 Hour : 46 Mins. https://t.co/BJxtd314fn"
77,2022-08-28 20:54:24+00:00,CelebJets,"Harrison Ford's Jet Took off near Westfield/Springfield, Massachusetts, US. Going to Knoxville, Tennessee, US (TYS, McGhee Tyson Airport) arriving in ~2h00m. https://t.co/3RNLbOSQ9W"
78,2022-08-28 20:19:02+00:00,CelebJets,"Harrison Ford's Jet 2,521 mile (2,191 NM) flight from HHR to BAF
 
~ 1,268 gallons (4,801 liters). 
~ 8,499 lbs (3,855 kg) of jet fuel used. 
~ $8,306 cost of fuel. 
~ 13 tons of CO2 emissions."
79,2022-08-28 20:19:01+00:00,CelebJets,"Harrison Ford's Jet Landed near Westfield/Springfield, Massachusetts, US. Apx. flt. time 5 Hours : 8 Mins. https://t.co/JZB3hPksYZ"
80,2022-08-28 19:45:06+00:00,CelebJets,"Kenny Chesney's Jet 1,790 mile (1,556 NM) flight from CPX to BNA
 
~ 1,292 gallons (4,890 liters). 
~ 8,657 lbs (3,927 kg) of jet fuel used. 
~ $8,461 cost of fuel. 
~ 14 tons of CO2 emissions."
81,2022-08-28 19:45:05+00:00,CelebJets,"Kenny Chesney's Jet Landed in Nashville, Tennessee, US. Apx. flt. time 3 Hours : 43 Mins. https://t.co/VgKY7tTV7G"
82,2022-08-28 18:33:45+00:00,CelebJets,"Floyd Mayweather's Jet 1,235 mile (1,073 NM) flight from LAS to HOU
 
~ 1,205 gallons (4,561 liters). 
~ 8,075 lbs (3,663 kg) of jet fuel used. 
~ $7,892 cost of fuel. 
~ 13 tons of CO2 emissions."
83,2022-08-28 18:33:44+00:00,CelebJets,"Floyd Mayweather's Jet Landed in Houston, Texas, US. Apx. flt. time 2 Hours : 30 Mins. https://t.co/JKfgN14fhk"
84,2022-08-28 18:25:08+00:00,CelebJets,"Tiger Wood's Jet 605 mile (526 NM) flight from RDU to SUA
 
~ 653 gallons (2,471 liters). 
~ 4,376 lbs (1,985 kg) of jet fuel used. 
~ $4,276 cost of fuel. 
~ 7 tons of CO2 emissions."
85,2022-08-28 18:25:07+00:00,CelebJets,"Tiger Wood's Jet Landed in Stuart, Florida, US. Apx. flt. time 1 Hour : 27 Mins. https://t.co/T32IbIj6tU"
86,2022-08-28 16:57:29+00:00,CelebJets,"Tiger Wood's Jet Took off from Raleigh/Durham, North Carolina, US. https://t.co/7eWe7gS9SD"
87,2022-08-28 16:02:49+00:00,CelebJets,"Floyd Mayweather's Jet Took off from Las Vegas, Nevada, US. Going to Houston, Texas, US (HOU, William P Hobby Airport) arriving in ~2h26m. https://t.co/2HMFQZlf5T"
88,2022-08-28 16:01:42+00:00,CelebJets,"Kenny Chesney's Jet Took off near Culebra, (unassigned), PR. Now going to Nashville, Tennessee, US (BNA, Nashville International Airport) arriving in ~3h35m. https://t.co/7eMxRBIQv7"
89,2022-08-28 15:05:28+00:00,CelebJets,"Harrison Ford's Jet Took off from Hawthorne, California, US. Going to Westfield/Springfield, Massachusetts, US (BAF, Westfield-Barnes Regional Airport) arriving in ~5h26m. https://t.co/gm29niGHe3"
